engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,fuel_consumption_comb_mpg,co2_emissions,make_type,vehicle_class_type
2.0,4,AV,X,5.5,5.7,5.6,47,131.0,Luxury,Sedan
2.5,5,AM7,Z,12.0,8.3,10.3,27,241.0,Premium,Hatchback
1.5,4,AV,X,4.9,5.5,5.1,47,120.0,General,Hatchback
2.7,4,AS6,X,12.7,10.6,11.7,24,274.0,General,Truck
3.6,6,A8,X,12.9,10.7,11.9,24,280.0,Premium,SUV
5.3,8,A6,X,15.4,10.8,13.3,21,306.0,Premium,SUV
1.4,4,AS6,X,9.0,7.6,8.3,34,196.0,Premium,SUV
3.0,6,AS8,Z,11.3,8.0,9.8,29,230.0,Premium,Hatchback
2.0,4,M6,Z,9.0,7.0,8.1,35,189.0,General,Sedan
1.4,4,AS6,X,8.5,6.4,7.5,38,175.0,General,Sedan
2.0,4,M6,X,9.7,6.9,8.4,34,197.0,General,Sedan
1.6,4,A6,X,11.1,8.0,9.7,29,223.0,General,Sedan
3.8,6,AM7,Z,12.6,9.9,11.4,25,266.0,Sports,Hatchback
2.0,4,AS8,Z,10.2,7.2,8.8,32,207.0,Premium,Sedan
1.6,4,M6,Z,9.3,7.5,8.5,33,196.0,Premium,Hatchback
2.0,4,AM7,Z,10.3,7.9,9.2,31,217.0,Premium,Hatchback
3.5,6,AS6,Z,12.6,9.2,11.0,26,258.0,Premium,Hatchback
3.7,6,AS6,X,13.7,10.3,12.1,23,278.0,Luxury,SUV
4.6,8,AS6,Z,16.0,12.9,14.6,19,341.0,Premium,SUV
3.5,6,AS7,Z,8.2,6.7,7.5,38,172.0,Premium,Hatchback
5.0,8,AS8,Z,18.0,12.2,15.4,18,354.0,Premium,SUV
2.0,4,AV6,X,9.8,8.0,9.0,31,207.0,General,SUV
2.0,4,A6,X,9.8,6.6,8.4,34,193.0,General,Sedan
3.4,6,M7,Z,12.5,9.0,10.9,26,251.0,Sports,Hatchback
5.7,8,A8,X,14.7,9.4,12.3,23,289.0,Premium,Sedan
1.6,4,AM7,X,9.2,7.1,8.3,34,194.0,General,Sedan
2.0,4,AS8,Z,10.7,7.4,9.2,31,215.0,Premium,SUV
1.6,4,M6,X,8.8,6.7,7.8,36,186.0,General,Hatchback
3.0,6,AS6,Z,11.5,8.5,10.2,28,235.0,General,SUV
3.6,6,AS8,X,13.3,9.2,11.5,25,269.0,Premium,Sedan
4.3,6,A6,E,20.3,14.500000000000002,18.0,16,288.0,Premium,Truck
1.4,4,A6,X,10.7,7.9,9.4,30,221.0,General,Sedan
2.0,4,AS6,X,6.0,5.1,5.6,47,132.0,General,Sedan
3.5,6,AS6,E,18.7,13.4,16.3,17,271.0,General,Sedan
2.7,4,A8,X,12.6,10.9,11.8,24,277.0,Premium,Truck
3.0,6,A9,Z,13.5,10.3,12.1,23,282.0,Premium,SUV
4.0,8,AM7,Z,14.5,10.8,12.8,22,302.0,Premium,Sedan
